指标名称,显示分组,公式,格式,排序,是否启用
销售额,总览,"range_sum(""销售额--FBA销售额"", ""COD"")",金额,10,是
销量,总览,"sum([销量--FBA销量]) + sum([销量--FBM销量]) + sum([销量--多渠道销量])",整数,20,是
毛利润,总览,"sum([毛利润])",金额,30,是
毛利率,总览,"safe_divide(sum([毛利润]), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,40,是
广告费,总览,"abs(sum([广告费-SD广告]) + sum([广告费-SP广告]) + sum([广告费-SB广告]) + sum([广告费-SBV广告]) + sum([广告费--差异分摊]))",金额,50,是
广告费占比,总览,"safe_divide(abs(sum([广告费-SD广告]) + sum([广告费-SP广告]) + sum([广告费-SB广告]) + sum([广告费-SBV广告]) + sum([广告费--差异分摊])), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,60,是
销售额,趋势,"range_sum(""销售额--FBA销售额"", ""COD"")",金额,10,是
销量,趋势,"sum([销量--FBA销量]) + sum([销量--FBM销量]) + sum([销量--多渠道销量])",整数,20,是
毛利率,趋势,"safe_divide(sum([毛利润]), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,30,是
广告费占比,趋势,"safe_divide(abs(sum([广告费-SD广告]) + sum([广告费-SP广告]) + sum([广告费-SB广告]) + sum([广告费-SBV广告]) + sum([广告费--差异分摊])), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,40,是
销售额,开发员分析,"range_sum(""销售额--FBA销售额"", ""COD"")",金额,10,是
销量,开发员分析,"sum([销量--FBA销量]) + sum([销量--FBM销量]) + sum([销量--多渠道销量])",整数,20,是
毛利润,开发员分析,"sum([毛利润])",金额,30,是
毛利率,开发员分析,"safe_divide(sum([毛利润]), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,40,是
广告费占比,开发员分析,"safe_divide(abs(sum([广告费-SD广告]) + sum([广告费-SP广告]) + sum([广告费-SB广告]) + sum([广告费-SBV广告]) + sum([广告费--差异分摊])), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,50,是
销售额目标,开发员分析,"max([销售额目标])",金额,60,是
毛利率目标,开发员分析,"max([毛利率目标])",百分比,70,是
目标完成率,开发员分析,"safe_divide(range_sum(""销售额--FBA销售额"", ""COD""), max([销售额目标]))",百分比,80,是
销售额,店铺分析,"range_sum(""销售额--FBA销售额"", ""COD"")",金额,10,是
销量,店铺分析,"sum([销量--FBA销量]) + sum([销量--FBM销量]) + sum([销量--多渠道销量])",整数,20,是
毛利润,店铺分析,"sum([毛利润])",金额,30,是
毛利率,店铺分析,"safe_divide(sum([毛利润]), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,40,是
广告费占比,店铺分析,"safe_divide(abs(sum([广告费-SD广告]) + sum([广告费-SP广告]) + sum([广告费-SB广告]) + sum([广告费-SBV广告]) + sum([广告费--差异分摊])), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,50,是
销售额,开发员店铺分析,"range_sum(""销售额--FBA销售额"", ""COD"")",金额,10,是
销量,开发员店铺分析,"sum([销量--FBA销量]) + sum([销量--FBM销量]) + sum([销量--多渠道销量])",整数,20,是
毛利润,开发员店铺分析,"sum([毛利润])",金额,30,是
毛利率,开发员店铺分析,"safe_divide(sum([毛利润]), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,40,是
广告费占比,开发员店铺分析,"safe_divide(abs(sum([广告费-SD广告]) + sum([广告费-SP广告]) + sum([广告费-SB广告]) + sum([广告费-SBV广告]) + sum([广告费--差异分摊])), range_sum(""销售额--FBA销售额"", ""COD""))",百分比,50,是
